Product,Entity,Operation,Campaign Name,Ad Group Name,Keyword Text,Match Type,Bid
Sponsored Products,Keyword,Update,Amazon Rec | Standard Nylon | SP | EC,Amazon Rec | KW,19mm nato strap,PHRASE,0.39
Sponsored Products,Keyword,Update,Auto | Heritage | SP | EC,Auto,20 mm blue watch band,-,0.69
Sponsored Products,Keyword,Update,Auto | Standard Nylon | SP | EC,Auto,20mm nato watch strap,-,0.63
Sponsored Products,Keyword,Update,Auto | Standard Nylon | SP | EC,Auto,20mm nylon nato,-,1.29
Sponsored Products,Keyword,Update,Amazon Rec | Heritage | SP | EC,KW,20mm sailcloth watch strap,PHRASE,0.8
Sponsored Products,Keyword,Update,Amazon Rec | Seahunter | SP | EC,KW,20mm sailcloth watch strap,PHRASE,0.67
Sponsored Products,Negative Keyword,Create,Domination | Long Tail | SP | EC,Long Tail,20mm sailcloth watch strap,Negative Phrase,
Sponsored Products,Keyword,Update,Amazon Rec | Sailcloth | SP | EC,KWs,20mm tudor black bay strap,PHRASE,0.52
Sponsored Products,Keyword,Update,Auto | Sailcloth | SP | EC,Auto,20mm watch band,-,0.82
Sponsored Products,Keyword,Update,Amazon Rec | Sailcloth | SP | EC,KWs,20mm watch band,PHRASE,1.2
Sponsored Products,Negative Keyword,Create,Domination | Core Keywords | SP | EC,20mm Core,20mm watch band,Negative Phrase,
Sponsored Products,Keyword,Update,Amazon Rec | Heritage | SP | EC,KW,20mm watch strap,PHRASE,0.78
Sponsored Products,Keyword,Update,Auto | Standard Nylon | SP | EC,Auto,22mm bond nato,-,0.39
Sponsored Products,Keyword,Update,Amazon Rec | Seahunter | SP | EC,ASIN,22mm diver watch band,-,1.0
Sponsored Products,Keyword,Update,Auto | Standard Nylon | SP | EC,Auto,22mm nato,-,1.25
Sponsored Products,Keyword,Update,Domination | Core Keywords | SP | EC,22mm Core,22mm nato strap,EXACT,1.65
Sponsored Products,Keyword,Update,Auto | Sailcloth | SP | EC,Auto,22mm watch band,-,0.8
Sponsored Products,Keyword,Update,Domination | Core Keywords | SP | EC,22mm Core,22mm watch band,EXACT,1.72
Sponsored Products,Keyword,Update,Domination | Core Keywords | SP | EC,22mm Core,22mm watch strap,EXACT,2.22
Sponsored Products,Keyword,Update,Amazon Rec | Sailcloth | SP | EC,KWs,anchor sailcloth strap,PHRASE,0.44
Sponsored Products,Keyword,Update,Amazon Rec | Sailcloth | SP | EC,KWs,anchor strap 20mm,PHRASE,0.69
Sponsored Products,Negative Keyword,Create,Amazon Rec | Heritage | SP | EC,KW,anchor strap co,Negative Phrase,
